Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,InitPsi
20,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,-3539.28
60,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,-8890.05
240,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,-6881.94
480,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,-5572.47
1200,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,-5306.78
3000,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,-7486.78
5000,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,-8715.30
12000,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,-3615.30
28000,0.00265,0.00265,0.056,0.14,0.35,0.40,0.25,1.284,8384.69
