name,suggested,lower,upper
,,,
SOIL__N,1.5,1.15,2
SOIL__Alpha,0.002,0.0005,0.008
SOIL__ThetaSat,0.5,0.4,0.7
SOIL__ThetaRes,0.06,0.04,0.08
SOIL__NormalHydrConductivity,0.01,5.00E-05,1
SCALAR__SoilRoughness,100,10,500
SCALAR__LSAI,5,0,1
SCALAR__CanopyFraction,0.6,0,1
SCALAR__SoilAlbVisDry,0.15,0.05,0.3
SCALAR__SoilAlbNIRDry,0.3,0.05,0.4
SCALAR__SoilAlbVisWet,0.3,0.05,0.4
SCALAR__SoilAlbNIRWet,0.25,0.05,0.5
SCALAR__SoilEmissiv,0.9,0.8,1
SOIL__SoilInitPresL0001,-6195,-10000,100
SOIL__SoilInitPresL0002,-6180,-10000,100
SOIL__SoilInitPresL0003,-6150,-10000,100
SOIL__SoilInitPresL0004,-6090,-10000,100
SOIL__SoilInitPresL0005,-6000,-10000,100
SOIL__SoilInitPresL0006,-3500,-10000,100
SOIL__SoilInitPresL0007,-1000,-10000,1000
SOIL__SoilInitPresL0008,-750,-10000,1000
SOIL__SoilInitPresL0009,-350,-10000,1000
SOIL__SoilInitPresL0010,200,-10000,1000
SOIL__PsiGamma,0.75,0.5,1
