datetime,observation,simulation
2014-04-08,NA,NA
2014-04-09,NA,NA
2014-04-10,NA,73.338680684261
2014-04-11,NA,36.8371817044261
2014-04-12,NA,57.7550215455758
2014-04-13,NA,78.6720177325669
2014-04-14,NA,67.826003204847
2014-04-15,NA,84.0810823855398
2014-04-16,NA,83.3055173791667
2014-04-17,NA,25.2848786557898
2014-04-18,NA,3.94461847646933
2014-04-19,NA,64.8206716974219
2014-04-20,NA,1.57537425029171
2014-04-21,NA,43.815582567088
2014-04-22,NA,26.1698380854385
2014-04-23,NA,53.990348715257
2014-04-24,NA,40.258518906481
2014-04-25,NA,44.097507853922
2014-04-26,NA,5.83138541959783
2014-04-27,NA,8.96109362148779
2014-04-28,NA,48.93142693125
2014-04-29,NA,8.43052880161925
2014-04-30,NA,46.7647228844838
2014-05-01,NA,18.0069741664592
2014-05-02,NA,52.2298932231573
2014-05-03,NA,59.322253705701
2014-05-04,NA,60.4793297629997
2014-05-05,NA,55.1681091702295
2014-05-06,NA,11.5787855960895
2014-05-07,NA,61.9468003996527
2014-05-08,NA,52.5307641531317
2014-05-09,NA,58.2787837987525
2014-05-10,NA,40.7014105886712
2014-05-11,NA,75.0597657459207
2014-05-12,NA,76.3599184620443
2014-05-13,NA,74.3575541653591
2014-05-14,NA,89.9826420315124
2014-05-15,NA,39.5152018189033
2014-05-16,NA,69.3077007536735
2014-05-17,NA,100.275574969899
2014-05-18,NA,70.1437116109203
2014-05-19,NA,79.1519846173011
2014-05-20,NA,73.3628918049152
2014-05-21,NA,70.2102069920706
2014-05-22,NA,45.5740793369925
2014-05-23,NA,101.203590407141
2014-05-24,NA,97.8207504760099
2014-05-25,NA,37.9166830738532
2014-05-26,NA,29.068210823176
2014-05-27,NA,102.082781349167
2014-05-28,NA,97.3406213946365
2014-05-29,NA,73.220877608398
2014-05-30,NA,120.205390569354
2014-05-31,NA,117.276780993914
2014-06-01,NA,95.5508097663287
2014-06-02,NA,88.4830599416667
2014-06-03,NA,68.5764168841245
2014-06-04,NA,157.382281853147
2014-06-05,96.0748658108319,158.526573217065
2014-06-06,115.905893053863,159.40800351968
2014-06-07,NA,154.287420779599
2014-06-08,NA,158.416414166527
2014-06-09,124.442399037827,222.555154585065
2014-06-10,NA,131.600288405644
2014-06-11,NA,147.08080167745
2014-06-12,108.939625683127,162.102164005782
2014-06-13,96.6421324514215,147.295891278383
2014-06-14,NA,42.8969533854167
2014-06-15,90.2462801558168,81.8191002707158
2014-06-16,62.5032329495614,74.8887688061353
2014-06-17,NA,506.660940307237
2014-06-18,NA,89.6839480489087
2014-06-19,45.8498118910696,62.7834838414844
2014-06-20,72.5818102352534,94.7099329429175
2014-06-21,NA,77.23756140267
2014-06-22,NA,99.8034881504427
2014-06-23,NA,56.5072420153911
2014-06-24,NA,129.051617486767
2014-06-25,NA,128.421020115093
2014-06-26,NA,112.218647035716
2014-06-27,45.2934188133029,87.7618352409275
2014-06-28,NA,20.8416362586824
2014-06-29,NA,160.322713240672
2014-06-30,61.584524559216,99.9411233399248
2014-07-01,NA,13.2796821910106
2014-07-02,125.184045658885,162.860644514865
2014-07-03,NA,68.4871113176941
2014-07-04,NA,94.6575899187543
2014-07-05,76.497324581919,123.323999561949
2014-07-06,NA,92.0276601929796
2014-07-07,NA,13.5215373056473
2014-07-08,NA,78.3112147805293
2014-07-09,NA,169.177038359137
2014-07-10,NA,147.251234746093
2014-07-11,NA,142.118564222825
2014-07-12,NA,85.5848651097974
2014-07-13,NA,105.635831914617
2014-07-14,NA,89.8007470875
2014-07-15,160.968297774598,103.255905147109
2014-07-16,146.449587074867,105.183574625949
2014-07-17,139.187279099888,93.0311936139172
2014-07-18,NA,115.208076242396
2014-07-19,NA,52.0280201069181
2014-07-20,NA,29.0109734834621
2014-07-21,NA,82.5726460106332
2014-07-22,109.272818645082,115.277239229814
2014-07-23,NA,28.8214089114323
2014-07-24,NA,110.843189453739
2014-07-25,NA,24.9700351323136
2014-07-26,NA,92.1490597536318
2014-07-27,58.6285369783484,76.2100885460062
2014-07-28,NA,15.3479833517735
2014-07-29,NA,55.500092652403
2014-07-30,118.064420047026,151.41371799364
2014-07-31,NA,76.9021249963958
2014-08-01,NA,70.04754629631
2014-08-02,NA,69.1887908421282
2014-08-03,NA,132.729702758429
2014-08-04,NA,175.299422582505
2014-08-05,108.344176679898,134.503891694332
2014-08-06,NA,97.2934591081488
2014-08-07,NA,91.2795541601284
2014-08-08,NA,34.5306900966793
2014-08-09,NA,100.6209185675
2014-08-10,NA,38.4390087817975
2014-08-11,NA,83.4582347065003
2014-08-12,NA,28.890797268031
2014-08-13,NA,103.755467140123
2014-08-14,NA,60.2916337678251
2014-08-15,142.965287080353,115.57980581555
2014-08-16,108.234338378868,72.9075387785156
2014-08-17,NA,71.7183982548735
2014-08-18,NA,10.0747744326704
2014-08-19,NA,39.7545050248017
2014-08-20,NA,85.1243401758638
2014-08-21,68.9866787819471,57.5350823652144
2014-08-22,NA,29.1101876242255
2014-08-23,139.367181382688,127.321681819236
2014-08-24,NA,53.2002203646856
2014-08-25,NA,7.56432327851562
2014-08-26,NA,102.33917145269
2014-08-27,101.586816053843,93.823134389586
2014-08-28,NA,48.9816597091406
2014-08-29,NA,43.1690762418537
2014-08-30,NA,38.2894341908433
2014-08-31,NA,126.168912176968
2014-09-01,95.9393032250103,119.896623961488
2014-09-02,72.3298999450613,64.4265273803242
2014-09-03,45.9624753762159,35.0417541921301
2014-09-04,NA,27.5571389654261
2014-09-05,NA,74.3500130279913
