GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv
 4.202300e-02   1.216810e+00  -2.692996e+00   4.809203e-01   7.072990e-02  -4.301030e+00   1.403243e+02   6.624369e-01   4.623204e-01   3.041112e+01   3.299606e+02   5.674224e+01   1.707461e-01   2.785038e-01   7.858510e-02   2.666241e-01   3.731883e+00   1.365175e-01   2.018638e-01   2.309998e-01   2.570862e-01   8.072582e-01
 4.147000e-02   1.151429e+00  -2.556242e+00   4.637935e-01   6.148893e-02  -4.176179e+00   1.775701e+02   8.568551e-01   4.426761e-01   3.916114e+01   2.444798e+02   6.446411e+01   1.462625e-01   1.611799e-01   8.060440e-02   3.197525e-01   5.856924e+00   5.000000e-02   2.220495e-01   2.770393e-01   3.940841e-01   8.471234e-01
 4.793200e-02   1.258589e+00  -2.757812e+00   5.519683e-01   6.702881e-02  -2.142024e+00   1.753469e+02   1.833643e-01   3.702195e-01   6.328561e+01   5.000000e+01   7.021585e+01   1.015618e-01   1.553596e-01   2.438958e-02   2.419088e-01   3.493785e+00   1.598281e-01   1.592518e-01   9.419638e-02   1.882741e-01   9.153369e-01
 4.343200e-02   1.187670e+00  -2.939163e+00   4.575296e-01   4.686011e-02  -3.779822e+00   4.916090e+02   5.148626e-01   5.726016e-01   6.516812e+01   5.787153e+02   8.602328e+01   1.694721e-01   2.616601e-01   1.190538e-01   5.153524e-01   6.280574e+00   2.572174e-01   2.969949e-01   1.416218e-01   1.220980e-01   9.652945e-01
 3.763100e-02   1.150000e+00  -2.315588e+00   4.841474e-01   6.820494e-02  -4.301030e+00   1.737974e+02   9.215744e-01   4.469206e-01   4.172365e+01   2.755815e+02   5.514546e+01   1.531105e-01   2.799391e-01   8.217536e-02   2.571596e-01   3.693363e+00   5.000000e-02   2.393940e-01   2.361058e-01   3.581329e-01   8.629069e-01
 4.003100e-02   1.158108e+00  -2.438563e+00   4.663772e-01   5.772919e-02  -4.252816e+00   3.746103e+02   8.991772e-01   6.191624e-01   5.062503e+01   4.136138e+02   6.967112e+01   1.238738e-01   2.201178e-01   5.358270e-02   3.279534e-01   5.115448e+00   7.668877e-02   1.934868e-01   3.823949e-01   1.298129e-01   8.423365e-01
 4.275200e-02   1.302671e+00  -2.238065e+00   5.279857e-01   4.629056e-02  -4.163468e+00   8.228683e+01   8.498850e-01   4.940328e-01   3.294223e+01   2.517454e+02   8.055139e+01   1.668579e-01   2.547300e-01   6.766251e-02   2.941808e-01   6.018069e+00   2.372284e-01   2.423417e-01   2.409218e-01   1.816790e-01   8.468570e-01
 4.466900e-02   1.290523e+00  -2.852022e+00   4.600580e-01   5.171105e-02  -4.216970e+00   1.456018e+02   6.685026e-01   6.027478e-01   5.884192e+01   4.612671e+02   5.944909e+01   1.174446e-01   2.665843e-01   1.086093e-01   1.818057e-01   1.723123e+00   2.240356e-01   2.643433e-01   2.158958e-01   3.818372e-01   8.828420e-01
 3.863500e-02   1.150000e+00  -2.321344e+00   4.910316e-01   4.447529e-02  -4.301030e+00   1.915103e+02   7.033458e-01   6.304544e-01   2.762322e+01   3.053562e+02   6.242709e+01   1.589869e-01   2.353345e-01   9.936701e-02   2.484727e-01   4.630420e+00   1.010580e-01   2.725396e-01   2.838162e-01   1.725215e-01   8.255287e-01
 4.189500e-02   1.224080e+00  -2.646213e+00   4.967265e-01   6.891314e-02  -4.281908e+00   1.558424e+02   7.376849e-01   3.334050e-01   3.383696e+01   3.692631e+02   6.177714e+01   1.698480e-01   2.557648e-01   7.523836e-02   1.525032e-01   4.231745e+00   8.484325e-02   2.668299e-01   2.815532e-01   2.786515e-01   8.917855e-01
