Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n
20,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
60,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
240,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
480,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
1200,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
3000,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
5000,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
12000,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
28000,0.021,4.99999999613145e-05,0.0651507968595874,0.17181451378449,0.288241410871714,0.489258861298519,0.0080000000001484,1.19415155447162
