datetime,observation,simulation
2014-04-08,0.1764653125,NA
2014-04-09,0.179819895833333,0.277363833333333
2014-04-10,0.180243541666667,0.284804416666667
2014-04-11,0.1793703125,0.291285625
2014-04-12,0.1786440625,0.295157375
2014-04-13,0.1775546875,0.297922833333333
2014-04-14,0.176335625,0.300066208333333
2014-04-15,0.174822604166667,0.301807958333333
2014-04-16,0.1735603125,0.303265
2014-04-17,0.171736041666667,0.304509166666667
2014-04-18,0.1713296875,0.30558925
2014-04-19,0.1725228125,0.306539708333333
2014-04-20,0.171372916666667,0.307385958333333
2014-04-21,0.171545833333333,0.308148166666667
2014-04-22,0.171372916666667,0.308841125
2014-04-23,0.170629375,0.309477958333333
2014-04-24,0.169799375,0.310068916666667
2014-04-25,0.1684765625,0.310621208333333
2014-04-26,0.167266145833333,0.31114075
2014-04-27,0.175522916666667,0.311631166666667
2014-04-28,0.202065625,0.312096958333333
2014-04-29,0.239943020833333,0.312544041666667
2014-04-30,0.268949791666667,0.312998375
2014-05-01,0.264220520833333,0.313508416666667
2014-05-02,0.264350208333333,0.31409525
2014-05-03,0.252955,0.3147615
2014-05-04,0.2420353125,0.315496583333333
2014-05-05,0.232628645833333,0.316281708333333
2014-05-06,0.2258503125,0.317096291666667
2014-05-07,0.227570833333333,0.317924708333333
2014-05-08,0.2224525,0.318766958333333
2014-05-09,0.217714583333333,0.319626875
2014-05-10,0.2133225,0.32049775
2014-05-11,0.211653854166667,0.321364583333333
2014-05-12,0.207036979166667,0.322210166666667
2014-05-13,0.202886979166667,0.323023333333333
2014-05-14,0.199973333333333,0.323797833333333
2014-05-15,0.1958665625,0.324530666666667
2014-05-16,0.193471666666667,0.325220708333333
2014-05-17,0.188699166666667,0.325868875
2014-05-18,0.18748875,0.326477958333333
2014-05-19,0.184540520833333,0.327051791666667
2014-05-20,0.180390520833333,0.327593375
2014-05-21,0.176231875,0.328105166666667
2014-05-22,0.1726525,0.328589791666667
2014-05-23,0.171476666666667,0.329049208333333
2014-05-24,0.168986666666667,0.329484916666667
2014-05-25,0.16653125,0.329898833333333
2014-05-26,0.165277604166667,0.330292125
2014-05-27,0.163928854166667,0.3306655
2014-05-28,0.1618884375,0.331019708333333
2014-05-29,0.158404166666667,0.331356208333333
2014-05-30,0.157211041666667,0.331678666666667
2014-05-31,0.154850729166667,0.331993125
2014-06-01,0.150285729166667,0.332300375
2014-06-02,0.146083854166667,0.332600375
2014-06-03,0.142236458333333,0.332891833333333
2014-06-04,0.142028958333333,0.333174125
2014-06-05,0.140334375,0.333447083333333
2014-06-06,0.138138333333333,0.33371075
2014-06-07,0.13187875,0.333965
2014-06-08,0.120414375,0.334210375
2014-06-09,0.110125833333333,0.334446416666667
2014-06-10,0.101229270833333,0.334673458333333
2014-06-11,0.0969063541666667,0.33489175
2014-06-12,0.09401,0.33510075
2014-06-13,0.0899810416666667,0.335301083333333
2014-06-14,0.0873267708333333,0.335492166666667
2014-06-15,0.08737,0.335673875
2014-06-16,0.0864276041666667,0.335847291666667
2014-06-17,0.08436125,0.3360115
2014-06-18,0.081975,0.336167666666667
2014-06-19,0.079640625,0.336316791666667
2014-06-20,0.077773125,0.3364575
2014-06-21,0.0751707291666667,0.336590041666667
2014-06-22,0.0746260416666667,0.336714666666667
2014-06-23,0.0758883333333333,0.336831666666667
2014-06-24,0.07658,0.336941
2014-06-25,0.0769085416666667,0.337043125
2014-06-26,0.0776088541666667,0.337137375
2014-06-27,0.0781708333333333,0.337224541666667
2014-06-28,0.105889375,0.337304208333333
2014-06-29,0.20357,0.3373775
2014-06-30,0.1860103125,0.33744925
2014-07-01,0.1778659375,0.337519958333333
2014-07-02,0.178842916666667,0.337590125
2014-07-03,0.17618,0.337660291666667
2014-07-04,0.1762059375,0.337730708333333
2014-07-05,0.176871666666667,0.337802666666667
2014-07-06,0.1738715625,0.337877291666667
2014-07-07,0.211186979166667,0.337954833333333
2014-07-08,0.250266145833333,0.338045041666667
2014-07-09,0.229213541666667,0.3381815
2014-07-10,0.217749166666667,0.338364416666667
2014-07-11,0.210348333333333,0.338578416666667
2014-07-12,0.203405729166667,0.338810916666667
2014-07-13,0.201538229166667,0.339053458333333
2014-07-14,0.198762916666667,0.339301833333333
2014-07-15,0.192684895833333,0.339554208333333
2014-07-16,0.1855953125,0.33981
2014-07-17,0.178237708333333,0.340068083333333
2014-07-18,0.1708109375,0.340327083333333
2014-07-19,0.165476458333333,0.340585541666667
2014-07-20,0.180174375,0.340841125
2014-07-21,0.2047371875,0.341094791666667
2014-07-22,0.197258541666667,0.34135825
2014-07-23,0.1925465625,0.341636708333333
2014-07-24,0.197855104166667,0.341928458333333
2014-07-25,0.22546125,0.342236416666667
2014-07-26,0.250222916666667,0.342580541666667
2014-07-27,0.245216979166667,0.343002583333333
2014-07-28,0.260667083333333,0.343500291666667
2014-07-29,0.272408125,0.344069166666667
2014-07-30,0.255825416666667,0.344750416666667
2014-07-31,0.243314895833333,0.34552625
2014-08-01,0.239268645833333,0.346342
2014-08-02,0.239683645833333,0.347159791666667
2014-08-03,0.234634479166667,0.347957166666667
2014-08-04,0.238153333333333,0.348719583333333
2014-08-05,0.231928333333333,0.349439583333333
2014-08-06,0.2245015625,0.350114416666667
2014-08-07,0.220783854166667,0.3507425
2014-08-08,0.241136145833333,0.351325166666667
2014-08-09,0.2661571875,0.351868291666667
2014-08-10,0.259646875,0.352386958333333
2014-08-11,0.260044583333333,0.352888416666667
2014-08-12,0.29559625,0.3533755
2014-08-13,0.2779328125,0.35397625
