AngleFromNorthClockwise,HorizonHeight
0,18.4277096103965
2.5,15.3818660092082
5,15.3818660092082
7.5,15.3818660092082
10,15.3818660092082
12.5,14.7131395862831
15,13.2782745809305
17.5,11.2737198803111
20,11.2737198803111
22.5,10.6996654050097
25,10.6996654050097
27.5,9.38933344334385
30,9.38933344334385
32.5,9.02359915903892
35,7.26042288828355
37.5,5.64369116046049
40,4.83025223865529
42.5,4.83025223865529
45,4.83025223865529
47.5,4.83025223865529
50,4.83025223865529
52.5,4.83025223865529
55,4.83025223865529
57.5,4.83025223865529
60,4.83025223865529
62.5,4.83025223865529
65,3.04247982171036
67.5,3.93076979475409
70,4.47948279699704
72.5,4.47807732969576
75,3.67098049890597
77.5,4.22810389699084
80,3.9178906711412
82.5,3.53451453326909
85,2.4851686002191
87.5,3.04642522044618
90,3.92517656977223
92.5,4.63415468276367
95,3.59175555026285
97.5,2.33447021963628
100,1.31325057158352
102.5,1.4636492287803
105,1.65607154758342
107.5,1.18952011569202
110,0.883219977863654
112.5,1.0113744379076
115,1.49562114394452
117.5,1.12220844889074
120,1.11596481172527
122.5,0.655934756995118
125,0.50509104287095
127.5,0
130,0.0868134425023805
132.5,0.748146574591976
135,1.83423374023772
137.5,2.84647964409224
140,4.03481511390011
142.5,4.94324231501273
145,5.94470297563633
147.5,6.80884795378238
150,8.25845348873945
152.5,9.33133724244018
155,10.6909377923821
157.5,10.960028839928
160,11.8141429265528
162.5,11.8295838679586
165,10.7845880211253
167.5,9.15695622246974
170,8.63377066041091
172.5,8.14064899813207
175,8.34905688004115
177.5,7.60317250474816
180,6.72804637141842
182.5,5.83747748332108
185,5.14404946591643
187.5,3.90971686529257
190,2.95546992538029
192.5,2.08877430276171
195,1.31090633074592
197.5,0.258135421800861
200,0
202.5,0
205,0
207.5,0
210,0
212.5,0
215,0
217.5,0
220,0
222.5,0
225,0
227.5,0
230,0
232.5,0
235,0
237.5,0
240,7.9752352417116
242.5,7.9752352417116
245,7.9752352417116
247.5,7.9752352417116
250,7.9752352417116
252.5,7.9752352417116
255,7.9752352417116
257.5,7.9752352417116
260,7.9752352417116
262.5,7.9752352417116
265,7.9752352417116
267.5,7.9752352417116
270,7.9752352417116
272.5,7.9752352417116
275,9.32723815560206
277.5,10.9418261300849
280,11.9253685942084
282.5,11.9534198383161
285,13.7799386031465
287.5,13.8844833623575
290,13.8844833623575
292.5,16.8734448937263
295,16.8734448937263
297.5,16.8734448937263
300,16.8734448937263
302.5,16.8734448937263
305,17.1681864706906
307.5,17.8645923968523
310,18.0041912345559
312.5,18.4726267653263
315,19.7866931821013
317.5,20.5024321924553
320,21.778233988135
322.5,22.5561976900623
325,24.1603493586817
327.5,24.6619967781485
330,24.3857519727319
332.5,23.7875122632249
335,22.1760295764701
337.5,20.9440138695004
340,20.4827893563378
342.5,20.4827893563378
345,20.4827893563378
347.5,20.4827893563378
350,20.4827893563378
352.5,19.4305907173229
355,18.4277096103965
357.5,18.4277096103965
