Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,stor
10,1e-04,4.99999999613145e-05,0.04,0.0403345273464457,0.0550386216549139,0.4,0.00717075463690721,1.9973301127848,1e-06
10,1e-04,4.99999999613145e-05,0.04,0.0403345273464457,0.0550386216549139,0.4,0.00717075463690721,1.9973301127848,1e-06
15,1e-04,4.99999999613145e-05,0.04,0.0403345273464457,0.0550386216549139,0.4,0.00717075463690721,1.9973301127848,1e-06
30,1e-04,4.99999999613145e-05,0.04,0.0403345273464457,0.0550386216549139,0.4,0.00717075463690721,1.9973301127848,1e-06
75,1e-04,4.99999999613145e-05,0.04,0.0403345273464457,0.0550386216549139,0.4,0.00717075463690721,1.9973301127848,1e-06
120,1e-04,4.99999999613145e-05,0.04,0.0403345273464457,0.0550386216549139,0.4,0.00717075463690721,1.9973301127848,1e-06
240,1e-04,4.99999999613145e-05,0.04,0.0403345273464457,0.0550386216549139,0.4,0.00717075463690721,1.9973301127848,1e-06
500,1e-04,4.99999999613145e-05,0.04,0.0403345273464457,0.0550386216549139,0.4,0.00717075463690721,1.9973301127848,1e-06
