GoF  SOIL__N  SOIL__LOG10_Alpha  SOIL__ThetaSat  SOIL__ThetaRes  SOIL__LOG10_NormalHydrConductivity  SCALAR__SoilRoughness  SCALAR__LSAI  SCALAR__CanopyFraction  SCALAR__DecayCoeffCanopy  SCALAR__RootDepth  SCALAR__MinStomatalRes  SCALAR__VegReflectVis  SCALAR__VegReflNIR  SCALAR__VegTransVis  SCALAR__VegTransNIR  SCALAR__CanDensSurface  SCALAR__SoilAlbVisDry  SCALAR__SoilAlbNIRDry  SCALAR__SoilAlbVisWet  SCALAR__SoilAlbNIRWet  SCALAR__SoilEmissiv
 5.142662e+02   1.154320e+00  -2.832499e+00   4.607011e-01   5.618891e-02  -2.411888e+00   9.253477e+01   1.641234e-01   8.668748e-01   4.423756e+00   6.116705e+02   3.273213e+01   1.235836e-01   1.615145e-01   1.056371e-01   1.286479e-01   5.017081e+00   1.706478e-01   1.538543e-01   8.249266e-02   1.358563e-01   8.195913e-01
 5.186700e+02   1.233878e+00  -2.625016e+00   4.632785e-01   6.182476e-02  -2.121507e+00   1.212617e+02   1.727669e-01   8.868910e-01   4.693540e+00   3.462197e+02   1.874267e+01   1.330348e-01   1.610242e-01   1.148204e-01   8.484346e-02   3.454934e+00   1.450960e-01   1.600363e-01   1.098124e-01   1.111754e-01   8.309939e-01
 5.195428e+02   1.244112e+00  -2.695878e+00   4.757927e-01   5.224177e-02  -1.690423e+00   9.582935e+01   2.667518e-01   7.886118e-01   4.237972e+00   3.518260e+02   4.484144e+01   1.524509e-01   1.615803e-01   9.720232e-02   1.030267e-01   3.764884e+00   1.128219e-01   1.283294e-01   1.820544e-01   1.417981e-01   8.173757e-01
 5.289277e+02   1.212093e+00  -2.826509e+00   4.441219e-01   6.581145e-02  -2.866695e+00   7.899550e+01   2.251585e-01   8.218875e-01   5.405003e+00   3.769682e+02   6.202328e+01   1.343777e-01   1.291595e-01   1.215589e-01   1.607079e-01   3.730389e+00   1.512470e-01   1.935370e-01   1.566911e-01   1.772258e-01   8.122090e-01
 5.286909e+02   1.150000e+00  -2.675616e+00   4.625051e-01   5.259947e-02  -1.728461e+00   4.889365e+01   6.027589e-02   9.559963e-01   6.289904e+00   4.644024e+02   3.206068e+01   1.313584e-01   1.234791e-01   1.281568e-01   9.465069e-02   3.553102e+00   8.090669e-02   1.505975e-01   2.067763e-01   1.593769e-01   8.135557e-01
 5.198034e+02   1.238702e+00  -2.821034e+00   4.369835e-01   4.820264e-02  -2.038683e+00   7.308670e+01   1.399827e-01   7.789395e-01   3.414392e+00   1.647289e+02   2.018345e+01   1.259419e-01   1.947604e-01   9.399911e-02   6.334435e-02   3.716867e+00   1.341507e-01   1.943527e-01   1.065159e-01   1.652870e-01   8.638637e-01
 5.215009e+02   1.198237e+00  -2.630782e+00   5.851810e-01   6.093554e-02  -2.469195e+00   4.743121e+01   2.013682e-01   9.391384e-01   5.196558e+00   3.566207e+02   6.433861e+01   1.229151e-01   6.983961e-02   1.214803e-01   9.961252e-02   4.052333e+00   1.206064e-01   1.929450e-01   1.262883e-01   1.117376e-01   8.175054e-01
 5.301234e+02   1.191543e+00  -2.574404e+00   5.856955e-01   5.436421e-02  -2.285461e+00   1.471093e+02   6.754303e-01   1.604230e-01   4.458228e+01   9.239025e+02   8.873671e+01   1.267311e-01   1.535876e-01   1.215189e-01   2.299972e-01   2.995123e+00   2.640181e-01   5.000000e-02   1.072265e-01   2.221810e-01   8.000000e-01
 5.170033e+02   1.218053e+00  -2.755619e+00   4.464194e-01   5.716945e-02  -1.890083e+00   6.956552e+01   2.289117e-01   8.906032e-01   4.723592e+00   4.537215e+02   3.116692e+01   1.149510e-01   1.949465e-01   1.070561e-01   1.084414e-01   3.413070e+00   1.153302e-01   1.879826e-01   1.092221e-01   2.051064e-01   8.029557e-01
 5.156907e+02   1.162528e+00  -2.898823e+00   4.264703e-01   5.568092e-02  -1.939960e+00   7.322561e+01   1.888499e-01   8.870683e-01   3.727073e+00   2.949459e+02   3.378821e+01   1.629208e-01   1.699002e-01   1.228951e-01   8.870674e-02   3.098082e+00   1.245084e-01   1.164031e-01   1.216235e-01   1.815384e-01   8.093042e-01
