Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,InitPsi
20,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,-1000
60,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,-900
240,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,-300
480,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,0
1200,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,1000
3000,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,2000
5000,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,3000
12000,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,3500
28000,0.00265,0.00265,0.056,0.14,0.35,0.40,0.0025,1.284,5000
